request,title,winner,description,publisher
"항상 사무실에서 가장 먼저 전화를 받는 사람에게 상을 주고 싶어.","전화 응답왕상","김전화","항상 전화가 울리기 무섭게 먼저 받아내는 그의 빠른 대처 능력을 칭찬하기 위해 이 상을 수여합니다.","빠른 대응 전문가 협회"
"항상 업무를 먼저 시작하는 사람에게 상을 주고 싶어.","업무 선발대상","박선행","언제나 남들보다 먼저 업무를 시작하며 앞서 나가는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","선도적 직장인 모임"
"항상 사무실 창문을 열어 환기를 시키는 사람에게 상을 주고 싶어.","환기 마스터상","최공기","사무실의 신선한 공기를 책임지는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","쾌적한 사무실 협회"
"항상 문서의 꼼꼼한 검토를 맡아주는 사람에게 상을 주고 싶어.","문서 검토왕상","정문서","항상 중요한 문서들을 빠짐없이 검토하며 오류를 잡아내는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","완벽한 문서 검토팀"
"항상 팀의 회의를 정리하는 사람에게 상을 주고 싶어.","회의 요약자상","요약왕","회의의 복잡한 내용을 간단하게 정리해 팀원들에게 도움을 주는 그의 요약 실력을 칭찬하기 위해 이 상을 수여합니다.","효율적 회의팀"
"항상 동료의 컴퓨터 문제를 해결해주는 사람에게 상을 주고 싶어.","IT 해결사상","컴왕","사무실 내 IT 문제를 척척 해결해주는 그의 능력을 칭찬하기 위해 이 상을 수여합니다.","IT 지원팀"
"항상 팀원들에게 작은 선물을 준비하는 사람에게 상을 주고 싶어.","깜짝 선물왕상","박서프","작은 선물로 팀원들에게 기쁨을 주는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","서프라이즈 협회"
"항상 일찍 출근하는 사람에게 상을 주고 싶어.","새벽 출근자상","일찍도착","항상 사무실에 일찍 도착해 남들보다 먼저 하루를 시작하는 그의 성실함을 칭찬하기 위해 이 상을 수여합니다.","일찍 출근 모임"
"항상 사무실 냉장고를 깔끔하게 정리하는 사람에게 상을 주고 싶어.","냉장고 정리왕상","김정리","사무실 냉장고를 깔끔하게 정리하며 모두를 편안하게 해주는 그의 배려를 칭찬하기 위해 이 상을 수여합니다.","정리의 달인 협회"
"항상 노트북을 가지고 다니는 사람에게 상을 주고 싶어.","노트북 마니아상","박노트","항상 노트북을 챙기며 언제 어디서나 업무를 처리하는 그의 준비성을 칭찬하기 위해 이 상을 수여합니다.","모바일 워크포스 협회"
"항상 팀원들의 야근을 대신해주는 사람에게 상을 주고 싶어.","야근 천사상","이야근","동료들의 야근을 자발적으로 대신해주는 그의 헌신을 칭찬하기 위해 이 상을 수여합니다.","야근 지킴이 협회"
"항상 팀원들의 사진을 찍어주는 사람에게 상을 주고 싶어.","포토그래퍼상","사진왕","항상 팀의 기억을 사진으로 남기며 추억을 기록하는 그의 감각을 칭찬하기 위해 이 상을 수여합니다.","사내 사진작가 모임"
"항상 팀원들에게 기프티콘을 보내는 사람에게 상을 주고 싶어.","기프티콘 나눔왕상","김기프","작은 선물로 팀원들에게 따뜻한 마음을 전하는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","기프티콘 장려회"
"항상 팀의 분위기를 부드럽게 만드는 사람에게 상을 주고 싶어.","분위기 메이커상","분위기왕","사무실 내 긍정적인 분위기를 주도하며 모두를 웃게 만드는 그의 유쾌함을 칭찬하기 위해 이 상을 수여합니다.","사내 분위기 관리 협회"
"항상 사무실에서 화분을 관리하는 사람에게 상을 주고 싶어.","화분 가드너상","박화분","사무실 화분을 관리하며 쾌적한 환경을 유지하는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","사무실 환경 관리팀"
"항상 팀원들의 건강을 챙기는 사람에게 상을 주고 싶어.","건강 지킴이상","박건강","항상 팀원들의 건강을 걱정하며 챙겨주는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","건강한 직장 협회"
"항상 사무실에서 에너지를 절약하는 사람에게 상을 주고 싶어.","에너지 절약왕상","최에코","사무실에서 에너지를 아끼며 환경 보호에 앞장서는 그의 실천을 칭찬하기 위해 이 상을 수여합니다.","친환경 사무실 협회"
"항상 팀원들에게 업무 노하우를 전수하는 사람에게 상을 주고 싶어.","노하우 전달자상","이노하우","자신의 업무 노하우를 아낌없이 공유하며 팀의 발전을 돕는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","지식 공유 모임"
"항상 사무실 문을 처음 여는 사람에게 상을 주고 싶어.","문 열기 선발대상","김문열","사무실 문을 가장 먼저 열며 새로운 하루를 시작하는 그의 부지런함을 칭찬하기 위해 이 상을 수여합니다.","아침 일찍 출근 협회"
"항상 팀원들에게 다과를 제공하는 사람에게 상을 주고 싶어.","다과 배달왕상","정다과","사무실에서 간식을 나누어주며 모두의 에너지를 채워주는 그의 배려를 칭찬하기 위해 이 상을 수여합니다.","다과 나눔 협회"
"항상 일정 관리를 철저히 하는 사람에게 상을 주고 싶어.","일정 관리왕상","김일정","일정을 철저히 관리하며 팀이 시간을 효율적으로 사용할 수 있도록 돕는 그의 체계성을 칭찬하기 위해 이 상을 수여합니다.","시간 관리 전문가 협회"
"항상 사무실에서 음악을 추천하는 사람에게 상을 주고 싶어.","음악 큐레이터상","박음악","팀원들에게 분위기 좋은 음악을 추천해주며 업무 분위기를 활기차게 만드는 그의 센스를 칭찬하기 위해 이 상을 수여합니다.","음악 추천 모임"
"항상 차를 타고 출근하는 사람에게 상을 주고 싶어.","출퇴근 운전자상","운전왕","항상 차를 운전해 출근하며 누구보다 일찍 사무실에 도착하는 그의 성실함을 칭찬하기 위해 이 상을 수여합니다.","자차 출퇴근 모임"
"항상 팀원들의 생일을 챙기는 사람에게 상을 주고 싶어.","생일 플래너상","이생일","항상 팀원들의 생일을 잊지 않고 챙기며 모두에게 따뜻한 마음을 전달하는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","사내 생일 축하 모임"
"항상 점심 메뉴를 결정해주는 사람에게 상을 주고 싶어.","메뉴 결정자상","박메뉴","팀원들에게 매일 점심 메뉴를 추천하며 선택의 부담을 덜어주는 그의 결단력을 칭찬하기 위해 이 상을 수여합니다.","점심 메뉴 추천 위원회"
"항상 회의실을 가장 먼저 예약하는 사람에게 상을 주고 싶어.","회의실 선점왕상","최예약","회의실을 남들보다 먼저 예약하며 팀의 회의 일정을 효율적으로 관리하는 그의 추진력을 칭찬하기 위해 이 상을 수여합니다.","효율적 회의 예약 모임"
"항상 팀의 제안서를 완벽하게 작성하는 사람에게 상을 주고 싶어.","제안서 장인상","제안왕","팀을 위한 완벽한 제안서를 작성해 업무의 성공을 이끄는 그의 꼼꼼함을 칭찬하기 위해 이 상을 수여합니다.","제안서 작성 전문가 협회"
